,Movies,Horror,Thriller,Comedy,Romantic,Sci-fi,War,Fantasy/Fairy tales,Animated,Documentary,Western,Action,Age,Height,Weight,Number of siblings,Gender_female,Gender_male,Left - right handed_left handed,Left - right handed_right handed,Education_college/bachelor degree,Education_currently a primary school pupil,Education_doctorate degree,Education_masters degree,Education_primary school,Education_secondary school,Only child_no,Only child_yes,Village - town_city,Village - town_village,House - block of flats_block of flats,House - block of flats_house/bungalow
193,5.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,1.0,4.0,26.0,169.0,70.0,2.0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1
194,5.0,3.0,5.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,19.0,183.0,78.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1
195,4.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,19.0,185.0,70.0,1.0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1
196,5.0,1.0,2.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,3.0,3.0,20.0,169.0,64.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
198,3.0,5.0,3.0,3.0,2.0,3.0,5.0,5.0,5.0,3.0,2.0,3.0,20.0,186.0,88.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
200,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,21.0,169.0,55.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
203,5.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,2.0,2.0,4.0,19.0,163.0,50.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
204,5.0,1.0,2.0,4.0,2.0,5.0,1.0,4.0,5.0,4.0,2.0,3.0,24.0,169.0,51.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1
205,5.0,1.0,1.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,2.0,1.0,19.0,160.0,53.0,1.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
206,5.0,5.0,4.0,4.0,1.0,4.0,4.0,2.0,2.0,4.0,4.0,5.0,25.0,184.0,85.0,3.0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1
207,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,20.0,170.0,62.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1
208,3.0,3.0,4.0,4.0,2.0,3.0,5.0,5.0,3.0,4.0,1.0,3.0,19.0,170.0,60.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
211,5.0,2.0,5.0,5.0,5.0,3.0,3.0,5.0,1.0,3.0,2.0,5.0,21.0,176.0,55.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
212,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,20.0,170.0,62.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
213,5.0,1.0,3.0,5.0,4.0,3.0,3.0,5.0,5.0,4.0,2.0,5.0,20.0,168.0,69.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
214,5.0,1.0,3.0,5.0,2.0,3.0,2.0,4.0,4.0,5.0,3.0,4.0,18.0,173.0,55.0,3.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
216,4.0,4.0,2.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,2.0,17.0,163.0,68.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
217,5.0,1.0,3.0,5.0,5.0,3.0,2.0,5.0,5.0,4.0,2.0,4.0,19.0,178.0,60.0,1.0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
218,5.0,3.0,2.0,5.0,3.0,5.0,5.0,3.0,4.0,5.0,1.0,5.0,18.0,182.0,70.0,2.0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1
220,5.0,3.0,3.0,5.0,3.0,2.0,3.0,4.0,5.0,4.0,3.0,4.0,18.0,200.0,90.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
221,5.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,2.0,30.0,178.0,71.0,2.0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0
222,5.0,1.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,24.0,153.0,42.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
223,5.0,1.0,2.0,5.0,3.0,2.0,2.0,4.0,5.0,4.0,1.0,4.0,20.0,168.0,51.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
224,5.0,4.0,3.0,4.0,3.0,4.0,5.0,2.0,4.0,3.0,1.0,5.0,20.0,172.0,56.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
225,5.0,3.0,3.0,4.0,2.0,5.0,5.0,2.0,4.0,5.0,3.0,5.0,20.0,176.0,64.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
227,5.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,5.0,2.0,4.0,19.0,168.0,68.0,3.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
228,5.0,1.0,2.0,3.0,2.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,20.0,157.0,48.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
229,3.0,1.0,3.0,4.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,5.0,21.0,173.0,73.0,5.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
230,4.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,19.0,173.0,63.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
232,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,3.0,2.0,5.0,19.0,168.0,60.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
234,3.0,1.0,1.0,5.0,5.0,2.0,2.0,5.0,5.0,4.0,2.0,3.0,18.0,168.0,65.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1
235,5.0,1.0,2.0,5.0,3.0,1.0,4.0,5.0,5.0,3.0,2.0,3.0,16.0,174.0,64.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
236,5.0,2.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,19.0,171.0,57.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
237,4.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0,5.0,4.0,2.0,3.0,18.0,173.0,64.0,3.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
239,5.0,1.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,2.0,1.0,4.0,21.0,173.0,59.0,1.0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0
240,3.0,3.0,3.0,5.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,21.0,180.0,80.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
241,5.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,2.0,4.0,18.0,180.0,60.0,1.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
244,5.0,5.0,5.0,5.0,4.0,2.0,1.0,5.0,5.0,2.0,1.0,4.0,20.0,160.0,46.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
245,5.0,5.0,4.0,5.0,3.0,2.0,1.0,5.0,5.0,3.0,2.0,5.0,19.0,172.0,60.0,1.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
246,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,27.0,180.0,80.0,0.0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0
248,5.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,2.0,5.0,19.0,160.0,55.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
250,5.0,3.0,5.0,5.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,20.0,176.0,63.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
251,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,2.0,19.0,164.0,60.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
252,5.0,2.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,20.0,155.0,44.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
253,3.0,5.0,5.0,5.0,5.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,17.0,167.0,57.0,2.0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
254,5.0,1.0,2.0,5.0,5.0,1.0,5.0,5.0,2.0,3.0,1.0,4.0,23.0,171.0,59.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
256,3.0,2.0,2.0,5.0,5.0,2.0,2.0,5.0,5.0,2.0,2.0,2.0,20.0,170.0,60.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
257,5.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,19.0,182.0,65.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
258,5.0,4.0,5.0,5.0,2.0,5.0,3.0,5.0,5.0,3.0,1.0,2.0,20.0,182.0,63.0,1.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
261,5.0,5.0,4.0,5.0,5.0,4.0,1.0,4.0,5.0,3.0,1.0,4.0,18.0,170.0,50.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
263,5.0,4.0,2.0,5.0,4.0,3.0,2.0,4.0,5.0,1.0,1.0,3.0,15.0,176.0,53.0,3.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
265,5.0,3.0,3.0,5.0,5.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,15.0,170.0,49.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
266,5.0,2.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,19.0,168.0,72.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
267,4.0,2.0,3.0,5.0,4.0,2.0,2.0,5.0,5.0,4.0,4.0,4.0,21.0,163.0,49.0,2.0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1
268,4.0,1.0,1.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,2.0,3.0,19.0,152.0,47.0,2.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
269,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,17.0,158.0,57.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
271,5.0,4.0,3.0,4.0,2.0,1.0,5.0,3.0,3.0,4.0,2.0,5.0,24.0,177.0,80.0,0.0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1
272,5.0,3.0,2.0,5.0,2.0,2.0,4.0,3.0,5.0,5.0,1.0,2.0,19.0,170.0,55.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
273,5.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,19.0,178.0,67.0,2.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
274,4.0,3.0,3.0,5.0,4.0,1.0,2.0,3.0,4.0,5.0,2.0,2.0,22.0,170.0,60.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1
275,5.0,4.0,3.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,3.0,4.0,20.0,170.0,70.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
277,5.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,19.0,188.0,76.0,0.0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
278,5.0,4.0,4.0,5.0,2.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,19.0,180.0,85.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
280,4.0,1.0,1.0,5.0,5.0,3.0,1.0,3.0,4.0,3.0,2.0,4.0,18.0,178.0,69.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
281,4.0,1.0,4.0,5.0,2.0,3.0,3.0,4.0,1.0,5.0,5.0,5.0,19.0,178.0,74.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
282,3.0,3.0,4.0,5.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,20.0,165.0,50.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
284,5.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,20.0,178.0,68.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
285,5.0,3.0,4.0,5.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,20.0,168.0,55.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
286,5.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,27.0,168.0,55.0,1.0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
287,5.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0,19.0,180.0,57.0,1.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1
290,5.0,2.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,1.0,2.0,20.0,173.0,58.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
291,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,20.0,193.0,85.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
293,5.0,1.0,1.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,1.0,16.0,167.0,62.0,1.0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
295,5.0,3.0,5.0,3.0,4.0,2.0,5.0,5.0,4.0,4.0,4.0,2.0,18.0,167.0,57.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
296,5.0,5.0,5.0,5.0,1.0,4.0,4.0,1.0,1.0,3.0,4.0,5.0,23.0,190.0,90.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
297,5.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,19.0,187.0,83.0,0.0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1
298,5.0,2.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,2.0,3.0,19.0,163.0,51.0,0.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
299,5.0,5.0,5.0,5.0,3.0,1.0,3.0,5.0,5.0,5.0,1.0,5.0,22.0,173.0,52.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
301,5.0,1.0,3.0,4.0,2.0,4.0,5.0,5.0,2.0,5.0,4.0,5.0,20.0,190.0,92.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1
303,5.0,1.0,3.0,5.0,4.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0,25.0,167.0,76.0,1.0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
304,5.0,1.0,3.0,5.0,4.0,3.0,1.0,4.0,4.0,2.0,1.0,4.0,18.0,160.0,53.0,2.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
305,5.0,1.0,1.0,5.0,5.0,2.0,4.0,5.0,4.0,4.0,1.0,4.0,20.0,169.0,64.0,0.0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
307,5.0,1.0,1.0,5.0,3.0,4.0,1.0,5.0,5.0,5.0,1.0,1.0,19.0,176.0,68.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
309,4.0,5.0,5.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,16.0,158.0,50.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
311,5.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,3.0,5.0,18.0,167.0,57.0,0.0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0
312,5.0,4.0,4.0,4.0,3.0,4.0,5.0,2.0,2.0,3.0,1.0,3.0,15.0,170.0,75.0,1.0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1
314,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,20.0,180.0,75.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
315,4.0,1.0,3.0,4.0,1.0,2.0,5.0,4.0,3.0,3.0,2.0,4.0,20.0,184.0,68.0,1.0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0
316,4.0,2.0,3.0,5.0,4.0,3.0,2.0,3.0,5.0,3.0,1.0,3.0,20.0,170.0,60.0,1.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1
319,5.0,1.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,2.0,4.0,18.0,166.0,65.0,1.0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
322,4.0,1.0,2.0,5.0,5.0,2.0,3.0,5.0,5.0,5.0,1.0,2.0,18.0,160.0,50.0,1.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
323,3.0,2.0,4.0,5.0,4.0,2.0,2.0,3.0,2.0,5.0,1.0,5.0,20.0,178.0,68.0,1.0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1
324,5.0,2.0,3.0,5.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,4.0,18.0,168.0,65.0,1.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
325,4.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,2.0,4.0,19.0,185.0,62.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
326,5.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,2.0,2.0,19.0,175.0,58.0,0.0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0
327,5.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,5.0,5.0,1.0,5.0,20.0,167.0,55.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
329,5.0,4.0,5.0,4.0,4.0,2.0,4.0,5.0,4.0,3.0,1.0,2.0,17.0,160.0,60.0,1.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
331,5.0,2.0,1.0,5.0,3.0,3.0,5.0,2.0,2.0,2.0,5.0,2.0,17.0,182.0,92.0,1.0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1
332,5.0,3.0,1.0,5.0,5.0,1.0,2.0,5.0,5.0,3.0,2.0,3.0,22.0,165.0,60.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
333,4.0,2.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,3.0,3.0,3.0,16.0,174.0,65.0,1.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
334,5.0,4.0,5.0,5.0,2.0,1.0,5.0,3.0,4.0,4.0,1.0,1.0,24.0,169.0,50.0,1.0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
335,5.0,5.0,4.0,5.0,3.0,4.0,5.0,3.0,3.0,4.0,2.0,3.0,17.0,185.0,73.0,1.0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0
336,5.0,5.0,4.0,5.0,3.0,4.0,1.0,3.0,5.0,5.0,1.0,3.0,17.0,170.0,60.0,1.0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0
337,5.0,2.0,2.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,3.0,4.0,17.0,182.0,76.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1
339,5.0,1.0,2.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,1.0,2.0,18.0,160.0,50.0,2.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
340,4.0,2.0,2.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,1.0,2.0,18.0,158.0,53.0,2.0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
341,5.0,5.0,5.0,5.0,1.0,4.0,5.0,1.0,1.0,4.0,5.0,5.0,16.0,186.0,63.0,1.0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1
342,3.0,1.0,2.0,5.0,3.0,5.0,2.0,4.0,4.0,3.0,2.0,3.0,20.0,173.0,68.0,1.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
344,4.0,1.0,2.0,5.0,4.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,24.0,172.0,68.0,3.0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1
345,4.0,1.0,3.0,5.0,3.0,5.0,4.0,2.0,1.0,1.0,1.0,5.0,18.0,164.0,60.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
346,5.0,3.0,4.0,5.0,3.0,4.0,3.0,2.0,1.0,3.0,2.0,5.0,17.0,185.0,70.0,1.0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0
348,5.0,1.0,1.0,5.0,2.0,3.0,1.0,5.0,5.0,5.0,3.0,4.0,16.0,182.0,75.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
350,5.0,3.0,3.0,4.0,2.0,5.0,3.0,2.0,5.0,2.0,3.0,5.0,20.0,187.0,68.0,2.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1
352,5.0,2.0,5.0,5.0,3.0,3.0,5.0,3.0,2.0,5.0,5.0,4.0,19.0,189.0,76.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
353,5.0,4.0,4.0,5.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,18.0,166.0,60.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
354,5.0,1.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,3.0,2.0,3.0,20.0,161.0,59.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
356,4.0,3.0,2.0,5.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,18.0,185.0,74.0,1.0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1
358,5.0,2.0,2.0,5.0,3.0,3.0,5.0,3.0,2.0,4.0,3.0,3.0,19.0,170.0,68.0,2.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1
359,5.0,1.0,2.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,3.0,4.0,20.0,184.0,72.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
361,5.0,5.0,4.0,5.0,4.0,3.0,1.0,5.0,5.0,2.0,1.0,2.0,19.0,166.0,58.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1
363,5.0,1.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,19.0,167.0,50.0,2.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
364,5.0,2.0,4.0,3.0,2.0,1.0,4.0,1.0,1.0,4.0,4.0,5.0,20.0,178.0,75.0,2.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
367,5.0,2.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,2.0,5.0,20.0,178.0,67.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0
370,5.0,1.0,4.0,5.0,3.0,1.0,3.0,5.0,5.0,5.0,2.0,5.0,19.0,168.0,58.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
371,5.0,1.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,3.0,3.0,2.0,19.0,164.0,53.0,4.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
372,4.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,5.0,5.0,1.0,4.0,20.0,187.0,56.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
374,5.0,3.0,4.0,5.0,5.0,2.0,4.0,5.0,3.0,3.0,2.0,2.0,21.0,176.0,62.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
377,5.0,5.0,5.0,5.0,3.0,1.0,3.0,4.0,4.0,4.0,1.0,2.0,17.0,158.0,70.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
379,5.0,3.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,25.0,174.0,67.0,2.0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1
380,5.0,4.0,3.0,4.0,3.0,2.0,1.0,5.0,4.0,2.0,1.0,4.0,20.0,170.0,58.0,1.0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
381,5.0,1.0,5.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,2.0,4.0,21.0,173.0,58.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
383,5.0,5.0,5.0,5.0,4.0,2.0,1.0,4.0,4.0,5.0,1.0,5.0,22.0,185.0,90.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
385,5.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,25.0,178.0,77.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
386,4.0,3.0,3.0,5.0,3.0,5.0,2.0,2.0,2.0,4.0,2.0,3.0,19.0,166.0,55.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
387,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,3.0,1.0,5.0,25.0,167.0,64.0,2.0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
388,5.0,3.0,5.0,4.0,4.0,2.0,5.0,5.0,3.0,4.0,1.0,5.0,25.0,169.0,60.0,1.0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
389,5.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,21.0,168.0,60.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1
390,5.0,1.0,1.0,4.0,3.0,3.0,2.0,5.0,5.0,5.0,4.0,4.0,20.0,178.0,65.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
391,4.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,24.0,165.0,49.0,2.0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
392,5.0,4.0,5.0,4.0,4.0,2.0,3.0,5.0,5.0,3.0,3.0,3.0,30.0,160.0,47.0,2.0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
